5,333,615,893,774,756
6,615,893,774,756,684
7,893,774,756,684,604
8,774,756,684,604,558
9,756,684,604,558,520
10,684,604,558,520,476
11,604,558,520,476,486
12,558,520,476,486,504
13,520,476,486,504,513
14,476,486,504,513,697
15,486,504,513,697,528
16,504,513,697,528,593
17,513,697,528,593,585
18,697,528,593,585,578
19,528,593,585,578,521
20,593,585,578,521,533
21,585,578,521,533,408
22,578,521,533,408,508
23,521,533,408,508,540
24,533,408,508,540,461
25,408,508,540,461,358
26,508,540,461,358,442
27,540,461,358,442,451
28,461,358,442,451,433
29,358,442,451,433,446
30,442,451,433,446,436
31,451,433,446,436,547
32,433,446,436,547,517
33,446,436,547,517,456
34,436,547,517,456,600
35,547,517,456,600,454
36,517,456,600,454,562
37,456,600,454,562,487
38,600,454,562,487,545
39,454,562,487,545,520
40,562,487,545,520,473
41,487,545,520,473,459
42,545,520,473,459,468
43,520,473,459,468,412
44,473,459,468,412,401
45,459,468,412,401,534
46,468,412,401,534,460
47,412,401,534,460,536
48,401,534,460,536,505
49,534,460,536,505,515
50,460,536,505,515,519
51,536,505,515,519,518
52,505,515,519,518,504
53,515,519,518,504,578
54,519,518,504,578,498
55,518,504,578,498,543
56,504,578,498,543,457
57,578,498,543,457,532
58,498,543,457,532,590
59,543,457,532,590,577
60,457,532,590,577,563
61,532,590,577,563,516
62,590,577,563,516,564
63,577,563,516,564,528
64,563,516,564,528,569
65,516,564,528,569,597
66,564,528,569,597,494
67,528,569,597,494,435
68,569,597,494,435,509
69,597,494,435,509,496
70,494,435,509,496,486
71,435,509,496,486,408
72,509,496,486,408,458
73,496,486,408,458,432
74,486,408,458,432,353
75,408,458,432,353,469
76,458,432,353,469,504
77,432,353,469,504,423
78,353,469,504,423,503
79,469,504,423,503,570
80,504,423,503,570,452
81,423,503,570,452,490
82,503,570,452,490,456
83,570,452,490,456,383
84,452,490,456,383,497
85,490,456,383,497,469
86,456,383,497,469,416
87,383,497,469,416,436
88,497,469,416,436,498
89,469,416,436,498,457
90,416,436,498,457,506
91,436,498,457,506,445
92,498,457,506,445,524
93,457,506,445,524,466
94,506,445,524,466,578
95,445,524,466,578,521
96,524,466,578,521,594
97,466,578,521,594,634
98,578,521,594,634,572
99,521,594,634,572,540
100,594,634,572,540,502
101,634,572,540,502,491
102,572,540,502,491,614
103,540,502,491,614,536
104,502,491,614,536,583
105,491,614,536,583,523
106,614,536,583,523,608
107,536,583,523,608,559
108,583,523,608,559,577
109,523,608,559,577,564
110,608,559,577,564,583
111,559,577,564,583,570
112,577,564,583,570,490
113,564,583,570,490,540
114,583,570,490,540,515
115,570,490,540,515,522
116,490,540,515,522,483
117,540,515,522,483,498
118,515,522,483,498,638
119,522,483,498,638,577
120,483,498,638,577,523
121,498,638,577,523,600
122,638,577,523,600,552
123,577,523,600,552,604
124,523,600,552,604,535
125,600,552,604,535,651
126,552,604,535,651,521
127,604,535,651,521,696
128,535,651,521,696,641
129,651,521,696,641,577
130,521,696,641,577,778
131,696,641,577,778,591
132,641,577,778,591,706
133,577,778,591,706,625
134,778,591,706,625,687
135,591,706,625,687,744
136,706,625,687,744,776
137,625,687,744,776,667
138,687,744,776,667,637
139,744,776,667,637,477
140,776,667,637,477,596
141,667,637,477,596,662
142,637,477,596,662,629
143,477,596,662,629,732
144,596,662,629,732,609
145,662,629,732,609,543
146,629,732,609,543,609
147,732,609,543,609,629
148,609,543,609,629,547
149,543,609,629,547,604
150,609,629,547,604,691
151,629,547,604,691,733
152,547,604,691,733,656
153,604,691,733,656,585
154,691,733,656,585,581
155,733,656,585,581,656
156,656,585,581,656,618
157,585,581,656,618,547
158,581,656,618,547,522
159,656,618,547,522,524
160,618,547,522,524,606
161,547,522,524,606,613
162,522,524,606,613,663
163,524,606,613,663,672
164,606,613,663,672,603
